Date,total.coho,total.marked
2018-08-30,0,0
2018-08-31,2,0
2018-09-01,0,0
2018-09-02,1,0
2018-09-03,1,0
2018-09-04,0,0
2018-09-05,1,0
2018-09-06,0,0
2018-09-07,1,0
2018-09-08,2,0
2018-09-09,2,0
2018-09-10,4,1
2018-09-11,6,0
2018-09-12,0,0
2018-09-13,0,0
2018-09-14,0,0
2018-09-15,0,0
2018-09-16,0,0
2018-09-17,0,0
2018-09-18,0,0
2018-09-19,0,0
2018-09-20,0,0
2018-09-21,0,0
2018-09-22,0,0
2018-09-23,0,0
2018-09-24,0,0
2018-09-25,0,0
2018-09-26,2,0
2018-09-27,55,6
2018-09-28,56,5
2018-09-29,5,0
2018-09-30,0,0
2018-10-01,0,0
2018-10-02,0,0
2018-10-03,0,0
2018-10-04,0,0
2018-10-05,0,0
2018-10-06,0,0
2018-10-07,0,0
2018-10-08,1,0
2018-10-09,159,15
2018-10-10,100,13
2018-10-11,39,4
2018-10-12,12,1
2018-10-13,10,2
2018-10-14,3,1
2018-10-15,0,0
2018-10-16,0,0
2018-10-17,0,0
2018-10-18,3,0
2018-10-19,32,2
2018-10-20,25,1
2018-10-21,5,0
2018-10-22,1,0
2018-10-23,1,0
2018-10-24,0,0
2018-10-25,0,0
2018-10-26,0,0
2018-10-27,3,0
2018-10-28,0,0
2018-10-29,0,0
2018-10-30,13,2
2018-10-31,39,1
2018-11-01,18,0
2018-11-02,1,0
2018-11-03,6,0
2018-11-04,20,3
2018-11-05,12,0
2018-11-06,6,2
2018-11-07,2,0
2018-11-08,0,0
2018-11-09,0,0
2018-11-10,0,0
2018-11-11,0,0
2018-11-12,0,0
2018-11-13,0,0
2018-11-14,0,0
2018-11-15,0,0
2018-11-16,0,0
2019-08-08,0,0
2019-08-09,0,0
2019-08-10,0,0
2019-08-11,0,0
2019-08-12,0,0
2019-08-13,2,0
2019-08-14,2,0
2019-08-15,6,0
2019-08-16,1,0
2019-08-17,0,0
2019-08-18,4,0
2019-08-19,0,0
2019-08-20,0,0
2019-08-21,4,0
2019-08-22,13,0
2019-08-23,10,0
2019-08-24,4,0
2019-08-25,6,0
2019-08-26,4,0
2019-08-27,2,0
2019-08-28,6,0
2019-08-29,4,0
2019-08-30,7,0
2019-08-31,6,0
2019-09-01,7,0
2019-09-02,2,0
2019-09-03,10,0
2019-09-04,14,1
2019-09-05,19,0
2019-09-06,16,0
2019-09-07,28,0
2019-09-08,11,0
2019-09-09,21,0
2019-09-10,18,2
2019-09-11,11,0
2019-09-12,12,0
2019-09-13,56,5
2019-09-14,26,0
2019-09-15,35,0
2019-09-16,20,1
2019-09-17,17,1
2019-09-18,20,0
2019-09-19,14,0
2019-09-20,43,1
2019-09-21,84,2
2019-09-22,219,6
2019-09-23,136,4
2019-09-24,46,1
2019-09-25,19,0
2019-09-26,8,0
2019-09-27,6,1
2019-09-28,0,0
2019-09-29,0,0
2019-09-30,0,0
2019-10-01,1,1
2019-10-02,0,0
2019-10-03,35,1
2019-10-04,18,0
2019-10-05,180,7
2019-10-06,55,1
2019-10-07,91,7
2019-10-08,16,1
2019-10-09,0,0
2019-10-10,0,0
2019-10-11,0,0
2019-10-12,0,0
2019-10-13,0,0
2019-10-14,0,0
2019-10-15,2,0
2019-10-16,12,0
2019-10-17,17,2
2019-10-18,15,1
2019-10-19,2,0
2019-10-20,0,0
2019-10-21,2,0
2019-10-22,1,0
2019-10-23,15,0
2019-10-24,2,0
2019-10-25,20,1
2019-10-26,0,0
2019-10-27,0,0
2019-10-28,1,0
2019-10-29,0,0
2019-10-30,0,0
2019-10-31,0,0
2020-07-31,0,0
2020-08-01,0,0
2020-08-02,0,0
2020-08-03,0,0
2020-08-04,0,0
2020-08-05,0,0
2020-08-06,0,0
2020-08-07,0,0
2020-08-08,0,0
2020-08-09,0,0
2020-08-10,0,0
2020-08-11,0,0
2020-08-12,0,0
2020-08-13,0,0
2020-08-14,0,0
2020-08-15,4,0
2020-08-16,0,0
2020-08-17,4,0
2020-08-18,3,1
2020-08-19,2,0
2020-08-20,5,1
2020-08-21,1,0
2020-08-22,1,0
2020-08-23,1,0
2020-08-24,4,0
2020-08-25,9,1
2020-08-26,6,0
2020-08-27,6,0
2020-08-28,25,1
2020-08-29,0,0
2020-08-30,5,0
2020-08-31,14,0
2020-09-01,14,1
2020-09-02,8,0
2020-09-03,0,0
2020-09-04,43,1
2020-09-05,24,3
2020-09-06,114,5
2020-09-07,84,3
2020-09-08,115,6
2020-09-09,60,1
2020-09-10,22,1
2020-09-11,50,1
2020-09-12,83,2
2020-09-13,69,1
2020-09-14,45,0
2020-09-15,24,1
2020-09-16,29,2
2020-09-17,47,2
2020-09-18,113,4
2020-09-19,76,1
2020-09-20,53,2
2020-09-21,53,3
2020-09-22,88,3
2020-09-23,114,1
2020-09-24,106,5
2020-09-25,52,2
2020-09-26,68,2
2020-09-27,29,1
2020-09-28,0,0
2020-09-29,51,2
2020-09-30,127,8
2020-10-01,240,11
2020-10-02,77,0
2020-10-03,35,1
2020-10-04,10,0
2020-10-05,46,0
2020-10-06,49,1
2020-10-07,7,0
2020-10-08,13,0
2020-10-09,1,0
2020-10-10,3,0
2020-10-11,2,0
2020-10-12,0,0
2020-10-13,0,0
2020-10-14,0,0
2020-10-15,3,0
2020-10-16,0,0
2020-10-17,0,0
2020-10-18,4,0
2020-10-19,0,0
2020-10-20,1,0
2020-10-21,0,0
2020-10-22,0,0
2020-10-23,0,0
2020-10-24,0,0
2020-10-25,0,0
2020-10-26,0,0
2020-10-27,0,0
2021-08-09,0,0
2021-08-10,0,0
2021-08-11,4,0
2021-08-12,4,0
2021-08-13,9,0
2021-08-14,26,0
2021-08-15,24,0
2021-08-16,8,1
2021-08-17,6,0
2021-08-18,1,1
2021-08-19,12,1
2021-08-20,5,0
2021-08-21,8,0
2021-08-22,6,0
2021-08-23,1,0
2021-08-24,0,0
2021-08-25,0,0
2021-08-26,5,0
2021-08-27,15,2
2021-08-28,20,0
2021-08-29,19,1
2021-08-30,5,1
2021-08-31,4,0
2021-09-01,2,0
2021-09-02,4,1
2021-09-03,30,0
2021-09-04,23,0
2021-09-05,71,5
2021-09-06,21,0
2021-09-07,31,3
2021-09-08,13,1
2021-09-09,20,4
2021-09-10,22,0
2021-09-11,13,0
2021-09-12,48,2
2021-09-13,21,1
2021-09-14,65,2
2021-09-15,28,0
2021-09-16,11,0
2021-09-17,6,0
2021-09-18,71,3
2021-09-19,99,4
2021-09-20,50,2
2021-09-21,40,1
2021-09-22,448,1
2021-09-23,378,4
2021-09-24,110,0
2021-09-25,80,2
2021-09-26,164,7
2021-09-27,145,2
2021-09-28,44,1
2021-09-29,12,0
2021-09-30,15,0
2021-10-01,16,1
2021-10-02,81,2
2021-10-03,26,0
2021-10-04,6,0
2021-10-05,16,2
2021-10-06,0,0
2021-10-07,0,0
2021-10-08,4,0
2021-10-09,8,0
2021-10-10,13,1
2021-10-11,20,1
2021-10-12,24,0
2021-10-13,7,1
2021-10-14,0,0
2021-10-15,11,0
2021-10-16,6,0
2021-10-17,1,0
2021-10-18,2,1
2021-10-19,0,0
2021-10-20,0,0
2021-10-21,2,0
2021-10-22,0,0
2021-10-23,6,0
2021-10-24,1,0
2021-10-25,0,0
2021-10-26,7,0
2021-10-27,0,0
2021-10-28,0,0
2021-10-29,0,0
2021-10-30,1,0
2021-10-31,0,0
2021-11-01,0,0
2021-11-02,0,0
2021-11-03,0,0
2021-11-04,0,0
2021-11-05,0,0
